"accountID","transactionAmountUSD","transactionAmount","transactionCurrencyCode","transactionDate","transactionTime","localHour","transactionIPaddress","ipState","ipPostcode","ipCountryCode","isProxyIP","browserLanguage","paymentInstrumentType","cardType","paymentBillingPostalCode","paymentBillingState","paymentBillingCountryCode","cvvVerifyResult","digitalItemCount","physicalItemCount","label"
"A914800878614266",139.99,139.99,"USD",20130830,123302,7,129.2,"maryland","20742","us","false","en-US","CREDITCARD","VISA","21704","MD","US","M",1,0,"false"
"A985157013380235",84.99,84.99,"USD",20130523,175654,-99,216.15,"new york","14534","us","false","en-US","CREDITCARD","VISA","60046","IL","US","M",1,0,"false"
"A844428120129504",85.79,85.79,"USD",20130903,165401,11,71.72,"ohio","45217","us","false","en-US","CREDITCARD","MC","45177","OH","US","M",1,0,"false"
"A362290397411582",148.39,148.39,"USD",20130728,192523,14,71.163,"district of columbia","20026","us","false","en-US","CREDITCARD","MC","20002","DC","US","M",1,0,"false"
"A1829581441749620",65.16,65.16,"USD",20130916,110621,6,24.19,"new york","10020","us","false","en-US","PAYPAL","U","NA","NA","US","N",0,1,"false"
"A1688852144090950",90.454872,90.83,"CAD",20130829,224938,17,69.24,"quebec","j9t 2k7","ca","false","fr-CA","CREDITCARD","VISA","J0Y 1V0","QC","CA","M",1,0,"false"
"A844427470773866",139.99,139.99,"USD",20130927,40915,20,76.225,"california","92604","us","false","en-US","CREDITCARD","VISA","92887","CA","US","M",1,0,"false"
"A985156172260853",84.79,84.79,"USD",20130826,33901,22,72.5,"west virginia","26505","us","false","en-US","CREDITCARD","MC","26287","WV","US","M",1,0,"false"
"A1055521349391210",312.55965,299,"AUD",20130405,220309,8,101.162,"queensland","4000","au","false","en-AU","CREDITCARD","MC","4510","Queensland","AU","M",1,0,"false"
"A844427990350816",539.99,539.99,"USD",20130622,183033,10,76.2,"california","95376","us","false","en-US","CREDITCARD","VISA","95391","CA","US","M",0,1,"false"
"A914801002392356",84.99,84.99,"USD",20130416,3205,18,98.223,"illinois","60115","us","false","en-US","CREDITCARD","VISA","60134","IL","US","M",1,0,"false"
"A914800133638293",109.29,109.29,"USD",20130425,174441,10,71.36,"arizona","85013","us","false","en-US","CREDITCARD","VISA","85282","AZ","US","M",1,0,"false"
"A1055521144013170",176.66415,169,"AUD",20130926,25204,10,1.127,"western australia","6000","au","false","en-AU","CREDITCARD","VISA","6516","Western Australia","AU","M",1,0,"false"
"A1759220987068340",104.7,104.7,"USD",20130820,211620,11,64.13,"hawaii","96822","us","false","en-US","CREDITCARD","VISA","96744","HI","US","M",1,0,"false"
"A844428069811175",173.223251,109.99,"GBP",20130609,95054,9,80.193,"edinburgh","eh1","gb","false","en-GB","CREDITCARD","VISA","EH12 5LY","NA","GB","M",1,0,"false"
"A844427182332954",540.49,540.49,"USD",20130731,64024,23,68.98,"arizona","85013","us","false","en-US","CREDITCARD","MC","85383","AZ","US","M",0,1,"false"
"A844428002449071",149.79,149.79,"USD",20130722,115043,6,75.187,"ohio","43201","us","false","en-US","CREDITCARD","AMEX","43410","OH","US","M",1,0,"false"
"A985156165521938",534.99,534.99,"USD",20130611,3702,19,99.183,"north carolina","28204","us","false","en-US","CREDITCARD","MC","29745","SC","US","M",0,1,"false"
"A914800970394538",139.09,139.09,"USD",20130920,215005,16,199.66,"new jersey","7310","us","false","en-US","CREDITCARD","AMEX","7013","NJ","US","M",0,1,"false"
"A985156960320583",1839.94328,10184,"DKK",20130625,171626,18,93.166,"sjaelland","4000","dk","false","da-DK","CREDITCARD","VISA","7500","NA","DK","M",0,6,"false"
"A365179077986296",5.34,5.34,"USD",20130525,222421,22,89.168,"greater london","se8","gb","false","en-US","PAYPAL","U","NA","NA","GB","N",1,0,"false"
